id,type,owner,reporter,milestone,status,resolution,summary,description,PosixTime,ModifiedTime,priority
1,task,bgoglin,sthibaul,v0.9.1,closed,fixed,rename everything,"rename topo_* into hwloc_*, libtopology into libhwloc, etc.",1252509408,1253400965,blocker
2,defect,jsquyres,jsquyres,v0.9.1,closed,wontfix,Fix vpath distcheck,"Per http://www.open-mpi.org/community/lists/hwloc-devel/2009/09/0045.php, the following recipe results in failure:

{{{
svn co ... 
cd trunk
./autogen.sh
mkdir build
cd build
../src/configure
make
make distcheck
}}}",1253050817,1254414896,normal
3,defect,jsquyres,jsquyres,v0.9.1,closed,fixed,utils man pages depend on executables,"As mentioned in http://www.open-mpi.org/community/lists/hwloc-devel/2009/09/0060.php, there's a causality issue in ""make dist"": the man pages depend on the executables (because the man pages are generated via help2man).

This causes a problem with the following (e.g., nightly tarball generation):

{{{
svn co ...
cd ...
./autogen.sh
./configure
make dist
}}}

because the executables will try to build, but fail when there is no libhwloc.la.

A workaround, of course, is to ""make all"" first and then ""make dist"".  But this is somewhat icky; it would be nice to have a better solution.",1253541070,1253893449,normal
4,enhancement,jsquyres,jsquyres,v1.0,closed,fixed,Add embedding capabilies,"PLPA is ""fully embeddable"" in larger software projects, meaning:

 * Relevant m4 is available in a standalone file that is m4_include'able.
 * Specific m4 macros are exported in this file that can be called in a higher-level file (e.g., configure.ac).
 * When building in an ""embedded"" mode, only the library is made (as an LT convenience library); nothing is installed.
 * Prefix name shifting is available for all public symbols.

This capability needs to be brought to hwloc before it can be a wholesale replacement for PLPA.",1253627886,1261997798,critical
5,enhancement,bgoglin,bgoglin,v1.3,closed,fixed,I/O device support,"Updated TODO-list:
  * Add iterators to find GPUs, NICs, ...
  * Update documentation 
  * Find a pci lib for MacOSX (neither pciutils nor pciaccess seems available, and pciaccess doesn't expose the hierarchy of brdiges anyway)
  * Add some hwloc_insert_object_by_pcisomething, e.g. for a CUDA plugin which provides extended information to the object (e.g. number of streaming processors, etc.), which the core merges with the objects created by the libpci module.

 * provide functions like:

hwloc_obj_t hwloc_get_path_obj(hwloc_topology_t topo, const char *path);
hwloc_obj_t hwloc_get_fd_obj(hwloc_topology_t topo, int fd);

(the latter may return a network device or a disk device, depending on whether it's a socket or a file. Mmm and how about nfs-mounted files!)
",1253768500,1302038258,normal
6,enhancement,,bgoglin,v0.9.1,closed,fixed,heterogeneous topology support,"what if we have a machine with different processors? for instance if one socket has a shared L3 and the other one doesn't?
  - sthibaul: should work fine already

support levels that do not cover the whole machine? (no L3 above the cores of the second socket above)
  - sthibaul: I do not understand

support object whose children are not in the exact next level? (socket pointing to cores instead of cache above)
  - sthibaul: should work fine already

need to be decided if we want to put GPUs as hwloc_obj_t, see ticket:5
",1253768810,1356162745,normal
7,enhancement,bgoglin,bgoglin,v1.0,closed,fixed,PLPA-like API (or at least PLPA-like information retrieval),"Most core/socket/processor-id conversion routines are easy to implement.

One thing that we miss is the number of offline processors.
We could add offline_procs to struct topology_info, but should be put ignored procs there as well (in case of cpuset or other administrator-disabling thing) ?
Might be worth fixing before 0.9.1 so that we don't change struct topology_info later.

Or we could just drop struct topology_info since it became very small now (we didn't want ten different accessors but it's not the case anymore). Maybe make it hwloc_get_topology_depth() and hwloc_is_thissystem() ?


Add cpulist-string to/from cpuset conversion routines?",1253777485,1261997739,normal
8,defect,,bgoglin,,closed,wontfix,XLC/AIX build warnings,"Reported by Mathieu Faverge.

Summary of warnings:

{{{
""lstopo-text.c"", line 292.12: 1506-077 (E) The wchar_t value 0x250c is not valid.
  - Just a warning that it won't work in a non-UTF-8 locale. We check that at runtime indeed so not a problem.
}}}
",1253858967,1356164984,normal
9,task,,bgoglin,v1.1,closed,fixed,add memory binding API,"  * add hwloc_set_membind(topology, beginaddr, endaddr, HWLOC_MEMBIND_BIND/FIRSTTOUCH/INTERLEAVE, hwloc_cpuset_t)
    * size instead of endaddr?
    * if beginaddr=endaddr=NULL, setmempolicy?
    * reverse routine?
    * no level = empty mask, and we may want an easy alias for ""whole machine""
  * allocation with a given policy
    * get Samuel's code from pm2's marcel_sysdep.c
  * apply a policy to a given area (not all OSes support that).
",1253895860,1356164321,blocker
10,task,bgoglin,bgoglin,v1.0,closed,fixed,add linux cgroup support (seems to be cpuset-exclusive?),"add linux cgroup support (seems to be cpuset-exclusive?)
{{{
  if /proc/self/cgroup exists and is not empty, take the path from the 3rd ':'-separated field
    read cpuset cpulist in /dev/cgroup/<path>/cpuset.cpus
    read cpuset memlist in /dev/cgroup/<path>/cpuset.mems
}}}
",1253895921,1255288333,normal
