id,type,owner,reporter,milestone,status,resolution,summary,description,PosixTime,ModifiedTime,priority
1,defect,emallove,jsquyres,v2.0,closed,fixed,Save HTTP username with results,"Now that we're using proper HTTP/Basic authentication to protect submitting MTT results, the HTTP username (and IP address?) should be stored with an incoming set of data in the database.",1156357882,1164833483,major
2,defect,jsquyres,jsquyres,v3.1,assigned,,Implement the Trim phase,"The ""trim"" phase needs to be completed so that scratch directories do not grow out of control after running for a while.",1156357996,1189537080,major
3,defect,jsquyres,jsquyres,Limited OMPI core availability,closed,fixed,Finish implementing hostfile / hostlist functionality,"The hostfile / hostlist functionality is currently half-implemented.  It is read in the .ini file and put in the MTT meta-data, but it is not used anywhere.",1156358129,1156460680,major
4,defect,jsquyres,jsquyres,v1.0,closed,fixed,Need to properly handle tests that are supposed to fail,"Although MTT allows the arbitrary definition of ""pass"" criteria, we have some large test suites where a small number of the tests are supposed to fail (e.g., IBM and Intel).  I.e., most of them ""pass"" by having an exit status of 0, but some of them pass by having a non-zero exit status (e.g., testing MPI_ABORT).

Particularly when we find the test executables via &find_executables() (which finds ''all'' test executables -- both the ones that are supposed to pass and the ones that are supposed to fail), it's hard to have a global set of pass criteria for all of them.  So a better scheme needs to be implemented to allow this kind of flexibility.  Some ideas:

 * Add a functlet that takes the output of &find_executables() and remove a list of names from it.  Perhaps something like the following, which finds all the IBM test executables and then excludes those with a base filename of ""abort"" or ""already_finalized"" (this allows multiple INI sections with different pass criteria):
{{{
simple_tests = &exclude_filename(&find_executables(""collective"", ""communicator"", ""datatype"", \
                          ""dynamic"", ""environment"", ""group"", ""info"", \
                          ""io"", ""onesided"", ""pt2pt"", ""topology""), ""abort"", ""already_finalized"")
}}}
 * Add more fields to the Simple module that allow excluding executables, similar to the &exclude_filename() functlet, above.  This allows multiple INI sections with different pass criteria.
 * Allow Simple to allow the specification of multiple (np, pass, executables, ...) tuples.  This may require more extensive changes to the TestRun infrastructure to be more in-line with what was discussed at the IU/LANL MTT meeting long long ago (i.e., allowing each test to specify its own np, pass criteria, etc.).",1156358993,1158204859,major
5,defect,jsquyres,jsquyres,Future,new,,"SVN ""get"" back-end functionality does not correctly detect ""no new sources""","The back-end SVN ""get"" functionality currently always thinks that it has found new sources, even when it has not, in fact, obtained anything new.

This is repeatable by specifying a Test Get with an SVN checkout -- it will get a new version every time even if the SVN repository with the test has not changed at all.",1156359097,1157638999,major
6,defect,,jsquyres,Future,new,,Test Get phase needs versioning,"The Test Get phase needs some kind of versioning, just like the MPI Get phase.

Without versioning, there is no way to know if there are new versions of tests that need to be downloaded/run (even if the MPI version has not changed).",1156359202,1156363038,major
7,enhancement,,jsquyres,v3.1,new,,Users should be able to delete results from database,"It would be good for HTTP users to be able to delete some or all of their results from the database (not from the MTT client, but probably from a web page).  For example, if a user screws up and submits a bad batch of results (e.g., a compiler license expired, so it falsely reported compile failures), it would be good if the user had a relatively simple method of being able to delete those results from the database rather than skew the results and reports in the database.",1156359410,1208198067,major
8,defect,emallove,jsquyres,v1.0,closed,fixed,Send e-mail every morning of previous 24 hours' compile/test failures,"Send a mail around providing executive summary of the previous day/night/24 hours/whatever failures (failed compiles, failed test runs, etc.).  This mail should have some simple requirements:

 * Subject line indicates the failures (compiles, tests).  Mail should either not be sent or indicate in the subject line if everything passed (!).
 * Mail should not be sent if there is no new information to share (e.g., no tests have been run in the past day/night/24 hours/whatever).
 * Contain HTTP links for more information.  The links should be fixed such that if I bring up a report mail from 3 days ago and click on its links, I'll see the web reports from 3 days ago (not the most current reports).
 * Be ""one page"" or less of information (everyone's screen size is different, hence ""one page"" is in quotes -- the idea is to have just enough information in the mail to get a developer interested to click through to the real data)

This is a first cut at the requirements.  Feel free to add/delete/edit.",1156359715,1158355221,critical
9,defect,,jsquyres,v2.1,closed,fixed,Provide a way for developers to run MTT against workspaces,"Make a trivially easy way for developers to run MTT against their workspaces / local installations.  The biggest usage of this will likely be having developers be able to run a small set of ""sanity"" tests before doing a putback.",1156359810,1178729658,critical
10,enhancement,,jsquyres,Future,new,,Have sever-side INI files with opt-out controls,"Make the ability to have a centralized INI file with a global set of configurations to test that apply to a set of users (E.g., the OMPI core testers).  This allows standardization of the set of tests that are run, etc.

Need to provide ""opt-out"" capabilities from the centralized INI file -- for example, the centralized INI file may list the trunk and all the release branches for OMPI (e.g., trunk, 1.0, 1.1, 1.2).  But Sun only cares about the trunk and 1.2, so they should be able to opt-out of the 1.1 and 1.0 tests.

Additionally, each MTT site will need to be able to customize some fields, such as which compilers to use, etc.",1156359988,1162648796,major
11,defect,,jsquyres,Future,closed,fixed,"Implement ""Test Specify"" phase","From the MTT developer's conference notes:

Implement 'test specify' phase - replaces current test run INI stuff

 * Should generate a list of tuples, which is:
   * exec - binary to execute
   * argv
   * np
   * pass - success return code
   * timeout
   * before_any
   * before_each
   * after_each
   * after_all
 * Test run phase should then accept this list
 * INI file looks like this:
{{{
[test_build: intel]
test_get = intel
module = intel
intel_buildfile = coll

[test specify: intel]
test_build = intel
module = intel
}}}
  The Test Run phase then becomes an engine that simply takes the output of the Test Specify phase (which is kinda how the code is currently organized anyway, but the name ""Test Run"" implies that the modules for this phase have more control than they really do).  ",1156360265,1158204859,major
12,defect,,jsquyres,Future,new,,"Add support for ""disconnected"" scenarios","Add support for MTT users who are behind firewalls or otherwise not directly connected to the internet.  Specifically, allow scenarios like:

 * MPI/Test get phases need to be run on a machine connected to the internet
 * The results of these gets need to be proxied to back-end machines
 * Builds and installs occur on one set of back-end machines (e.g., compile nodes)
 * Test runs occur on a different set of back-end machines (e.g., cluster/compute nodes)
 * Result data need to be proxied back to the internet-connected machine
 * Results are then submitted via the internet",1156360595,1172091222,major
13,defect,,jsquyres,v2.0,closed,fixed,Add support for performance testing and historical data,"Allow MTT to run performance tests and save the results in a historical database.  For example, run NetPIPE and save the data over time.  Be able to report the NetPIPE data in graphical form where relevant (e.g., look at the NetPIPE data for a given BTL from a given cluster over arbitrary time periods).

Should have support for at least the following test suites:

 * Intel benchmarks (used to be Pallas benchmarks)
 * NetPIPE

Probably want to add support for more over time, such as:

 * Presta
 * ...?",1156360766,1166197896,major
14,defect,,jsquyres,Future,new,,Add funclets that give access to stdout/stderr from test run,"Sun may have some tests that require checking stdout / stderr to see if a test passed.  So we need to provide funclets that give access to the stdout / stderr of a test run, and probably some simple string checking funclets (e.g., &grep(), &regexp(), ...).

This ticket is conditional; talk to Sun to see if it's worthwhile before implementing.",1156360863,1156360863,major
15,defect,,jsquyres,Future,new,,Cut down on MTT perl module requirements,"Rainer mentioned that we're requiring a bunch of Perl modules that aren't necessarily installed by default on some older machines (e.g., his).  He installed them to make it work, but it might be nice if we can cut down on the number of requirements -- particularly when running on MTT on parallel compute nodes, where perl installs are likely to be minimal (i.e,. all we need to do is run thests and dump output to files there; no need for fancy downloading perl modules, etc.).  From a mail from Rainer:

It seems that quite a few packets are required to build the ParallelUserAgent-2.56:

 * libwww-perl-5.803   /* which is considered to be too new */
   * depends on Compress-Zlib-2.000_05
 * URI-1.35
 * HTML-Parser
   * depends on HTML-Tagset-3.10",1156361312,1156361312,major
16,defect,jsquyres,jsquyres,Limited OMPI core availability,closed,worksforme,Need a way to report MTT's version number,"If we're going to have users outside of developers using MTT, we need a way for them to report the version that they're running.",1156426423,1156460829,major
17,defect,,jsquyres,Future,new,,More fine-grained MPI Details control,"The current MPI details scheme might not be flexible enough for all scenarios.  Here's one scenario that it does not do well.  It's not an urgent problem, but it might be good to make MPI details be fleible enough to handle this kind of scenario:

 * cluster of 32 4-way SMPs
 * want to test several BTLs, including ""sm""
 * but ""sm"" cannot be tested by itself except when we are running one one node

For example, the following MPI details definition, when spanning multiple nodes, will not work because multi-node jobs will be launched with ""--mca btl self,sm"":

{{{
[MPI Details: Open MPI]
exec = mpirun -np &test_np() --prefix &test_prefix() --mca btl self,@btl@ &test_executable() &test_argv()
btl = &enumerate(""tcp"", ""sm"")
}}}

Instead, it seems like we want to make the value of @btl@ be a bit more conditional -- in this case, we want it to be dependent upon how many nodes (''not'' the value of np!) the job will run across.",1156429301,1165421133,major
18,defect,jsquyres,hpcstork,Limited OMPI core availability,closed,fixed,The cleanup command doesn't can't be executed,"By looking the mtt output I saw that the cleanup script cannot be executed (see below). I assume that a ""real"" command is required and not a shell script.

{{{
Timeout: 1 - 1156432342 (vs. now: 1156432332)
OUT:Can't execute command:
OUT:# This scriptlet ensures that all remnants of the prior mpirun are
OUT:# gone.  It kills all orteds running under this user and whacks any
OUT:# session directories that it finds.  Hence, do not expect to be able
OUT:# to run on the same machine/user as a user who is running MTT tests.
OUT:
OUT:# This scriptlet is not fully tested yet.  Needs testing on: Linux,
OUT:# OSX, Solaris.
OUT:
OUT:who=`whoami`
OUT:which killall > /dev/null 2> /dev/null
OUT:if test ""$?"" = ""0""; then
OUT:    # If we have killall, it's easy.
OUT:    killall -9 orted
OUT:else
OUT:    # We're on an OS without killall.  Which variant of ps do we have?
OUT:    ps auxw > /dev/null 2> /dev/null
OUT:    if test ""$?"" = ""0""; then
OUT:        ps_args=""auxww""
OUT:    else
OUT:        ps_args=""-eadf""
OUT:    fi
OUT:    pids=`ps $ps_args | grep $who | grep -v grep | grep orted awk '{
   print $2 }'`
OUT:    if test ""$pids"" != """"; then
OUT:        kill -9 $pids
OUT:    fi
OUT:fi
OUT:
OUT:# Whack any remaining session directories.  This is a workaround for
OUT:# current bugs in OMPI.
OUT:rm -rf /tmp/openmpi-sessions-${who}*
OUT:
Command complete, exit status: 512
}}}
",1156432852,1156435995,major
19,defect,jsquyres,jsquyres,Limited OMPI core availability,closed,fixed,Rename Perfbase Reporter component to MTTDatabase,Title says all.,1156460252,1156464545,major
20,defect,jsquyres,jsquyres,Limited OMPI core availability,closed,fixed,Add support for Torque,Title says all.  HLRS needs this for their clusters.,1156461467,1156464340,major
21,defect,,hpcstork,v1.0,closed,duplicate,Add  torque/pbs scheduler support to MTT,MTT needs support for torque/pbs scheduler.,1156461731,1156461799,major
22,defect,jsquyres,hpcstork,Limited OMPI core availability,closed,fixed,"fix LD_LIBRARY_PATH for ""make check""","In the file lib/MTT/MPI/Install/OMPI.pm MTT before running the check deletes the LD_BIRARY_PATH to avoid any problems with other librarires. I run into the problem that is mentioned in the comment with the compiler that needs libs of the LD_LIBRARY_PATH. 

I think it should be possible to  avoid the deletion of the LD_LIBRARY_PATH and and the problems with other libraries. If we simple prepend the MTT paths to the LD_LIBRARY_PATH then it is supposed to work, because in this case the MTT libs are always infront of all the others libs in the LD_LIBRARY_PATH.",1156491604,1156508286,major
23,defect,emallove,jsquyres,v1.0,closed,fixed,Many PHP warnings,"I am seeing many PHP warnings in the web server logs, indicating problems with summary.php.  Here's a snipit from the web logs (I am trying to get the IU admins to make these available to us in real-time; right now, you have to ask for them because the files are not readable by our logins) -- I'll attach the entire log that I have that shows all the problems:

{{{
[client 64.102.254.33] PHP Notice:  Undefined index:  debug in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 90, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined index:  db in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 338, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined variable:  argv in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 339, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined index:  level in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 351, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined index:  verbose in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 368, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined index:  go in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 375, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined index:  go in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 381, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 522, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 541, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 562, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 583, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 583, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 583, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  0 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 658, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  1 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 541, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined offset:  1 in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 583, referer: http://www.open-mpi.org/mtt/
[client 64.102.254.33] PHP Notice:  Undefined index:  verbose in /nfs/magrathea/home/user2/osl/www/www.open-mpi.org/mtt/summary.php on line 585, referer: http://www.open-mpi.org/mtt/
}}}",1156505153,1157470397,major
24,defect,jsquyres,jsquyres,v1.0,closed,fixed,HLRS machines not recognized by whatami,"The output reported by ""whatami"" on the cacau cluster is ""linux-unknown_please_send_us_a_patch-x86_64"".

We need to fix this (and send a patch to the whatami guys).",1156508155,1156514343,major
25,enhancement,emallove,tdd,v1.0,closed,fixed,Need N1GE RM support,Need to make the appropriate extension to mtt to be able to use the N1GE RM to run tests.,1156509645,1158256896,critical
26,enhancement,jsquyres,jsquyres,v3.0,closed,duplicate,Track which resource manager is used for runs,"It would be good for MTT to track which resource manager is used for test runs.

This is a little complicated, however, because it is possible for the MPI Details section to override which RM is used (e.g., to explicitly test, say, the native RM and rsh).  For example:

{{{
[MPI Details: foo]
exec = mpirun --mca pls fork,&enumerate(""rsh"", ""slurm"") ....
}}}

So we'd somehow need to track which RM is used ''for each test run result.'''",1156510916,1187266086,major
27,enhancement,jsquyres,jsquyres,v3.0,closed,duplicate,Track which interconnect(s) is(are) used for test runs,"Similar to #26, track which interconnect(s) is(are) used for each test run.

Has similar difficulties as #26, in that the MPI Details section can override which network(s) are used.",1156510995,1187266101,major
28,defect,jsquyres,jsquyres,v1.0,closed,fixed,HTTP auth is not working properly,"When using .htaccess to protect the submit directory, the MTT client fails to submit properly, even though it seems to have the correct HTTP username/password in the ini file.  The MTTDatabase reporter outputs messages similar to the following:

{{{
>> Failed to report to MTTDatabase: 401 Authorization Required
   <!DOCTYPE HTML PUBLIC ""-//IETF//DTD HTML 2.0//EN"">
   <html><head>
   <title>401 Authorization Required</title>
   </head><body>
   <h1>Authorization Required</h1>
   <p>This server could not verify that you
   are authorized to access the document
   requested.  Either you supplied the wrong
   credentials (e.g., bad password), or your
   browser doesn't understand how to supply
   the credentials required.</p>
   <hr>
   <address>Apache/2.0.52 (Red Hat) Server at www.open-mpi.org Port
   443</address>
   </body></html>
}}}",1156511309,1156521375,major
