id,owner,reporter
19,bosilca,bosilca
76,jsquyres,jsquyres
174,hjelmn,jsquyres
184,,jsquyres
192,jsquyres,jsquyres
200,,bosilca
393,,adi
576,,jsquyres
585,,jsquyres
628,bosilca,rolfv
710,rlgraham,rlgraham
731,,tprins
790,,gshipman
798,jsquyres,jsquyres
917,,jsquyres
989,gshipman,jsquyres
1010,,jsquyres
1012,,jsquyres
1050,,jsquyres
1080,,tprins
1096,,gshipman
1113,bosilca,jsquyres
1143,,jsquyres
1159,,jsquyres
1161,afriedle,jsquyres
1172,,jsquyres
1184,,tdd
1185,,jsquyres
1188,jsquyres,jsquyres
1207,,jsquyres
1240,pasha,jsquyres
1241,,jsquyres
1249,bosilca,jsquyres
1262,,jsquyres
1269,rhc,jsquyres
1273,,rolfv
1284,,jsquyres
1287,adi,adi
1291,,jjhursey
1296,bbenton,jsquyres
1313,,jsquyres
1322,jdmason,jdmason
1352,,jsquyres
1362,pasha,tdd
1363,bosilca,jsquyres
1366,,jsquyres
1367,bosilca,jsquyres
1368,jsquyres,jsquyres
1371,,jsquyres
1377,,jsquyres
1391,hjelmn,jjhursey
1393,jjhursey,jjhursey
1395,,jjhursey
1396,bouteill,bouteill
1434,pasha,jsquyres
1476,bosilca,jsquyres
1505,,timattox
1519,edgar,jsquyres
1524,,jsquyres
1541,,jsquyres
1544,bbenton,jsquyres
1546,,jsquyres
1603,bosilca,jsquyres
1656,,rolfv
1665,jdmason,jdmason
1684,,jsquyres
1711,,lennyve
1712,,timattox
1716,,lennyve
1719,,jsquyres
1720,,jsquyres
1769,jjhursey,jjhursey
1782,,jsquyres
1784,,jsquyres
1805,,jsquyres
1812,jsquyres,rusraink
1817,jjhursey,jjhursey
1900,,jsquyres
1961,jjhursey,jjhursey
1970,pasha,htor
1983,,jsquyres
1986,jsquyres,bosilca
2019,bbenton,jsquyres
2027,,jsquyres
2045,jsquyres,jsquyres
2049,,tdd
2062,jsquyres,rhc
2093,jsquyres,cyeoh
2095,edgar,jsquyres
2098,jjhursey,jjhursey
2145,,matney
2146,hjelmn,eugene
2153,,eugene
2155,bosilca,jsquyres
2168,,jsquyres
2191,jjhursey,jjhursey
2198,,jsquyres
2203,,eugene
2224,jladd,jsquyres
2247,bosilca,jedbrown
2295,jladd,jsquyres
2330,jjhursey,jjhursey
2352,,cyeoh
2368,shiqing,balay
2383,jsquyres,jsquyres
2397,jjhursey,jjhursey
2399,,rhc
2400,rhc,jsquyres
2419,bosilca,cyeoh
2429,,jsquyres
2437,,jsquyres
2438,,jsquyres
2485,edgar,rhc
2487,jjhursey,jjhursey
2494,bosilca,jsquyres
2495,bosilca,jsquyres
2538,,jsquyres
2540,,jsquyres
2542,,rolfv
2582,,jsquyres
2583,rolfv,jsquyres
2585,,rusraink
2639,,jsquyres
2675,jsquyres,jsquyres
2714,bbenton,bbenton
2723,bosilca,jsquyres
2741,jjhursey,jjhursey
2743,jjhursey,jjhursey
2783,,jjhursey
2809,brbarret,brbarret
2841,,jjhursey
2842,,jjhursey
2900,brbarret,jsquyres
2981,bosilca,jsquyres
2989,edgar,jsquyres
2999,jsquyres,jsquyres
3021,,cyeoh
3029,jladd,kliteyn
3083,jsquyres,jsquyres
3088,jsquyres,jsquyres
3089,bbenton,bbenton
3100,regrant,brbarret
3101,regrant,brbarret
3102,regrant,brbarret
3103,jsquyres,opoplawski
3121,,tdd
3128,regrant,brbarret
3134,jladd,jsquyres
3138,hjelmn,jsquyres
3139,hjelmn,jsquyres
3157,jsquyres,jsquyres
3162,,jsquyres
3163,jsquyres,jsquyres
3182,jladd,jsquyres
3205,hjelmn,jsquyres
3212,jsquyres,jsquyres
3214,hjelmn,cyeoh
3314,hjelmn,Freyguy19713
3323,bosilca,yaeld
3339,rhc,jsquyres
3342,jladd,aryzhikh
3352,jsquyres,rhc
3385,,opoplawski
3417,,jjhursey
3420,,domke
3428,,domke
3429,rhc,Freyguy19713
3430,bosilca,rhc
3443,brbarret,brbarret
3481,,jsquyres
3491,jsquyres,jsquyres
3554,,gruenich
3567,brbarret,brbarret
3579,,hklimach
3582,jsquyres,jsquyres
3663,miked,miked
3669,miked,miked
3698,jladd,antst
3700,edgar,antst
3886,miked,msteele24
3892,jsquyres,phargrov
3997,,fx
4035,jsquyres,rhc
4104,phargrov,jsquyres
4195,,matzeri
4206,hjelmn,jsquyres
4249,jsquyres,jsquyres
4262,miked,jsquyres
4285,,hpcchris
4292,,teh
4342,,edgar
4376,miked,aryzhikh
4429,,ggouaillardet
4442,jsquyres,jsquyres
4472,rhc,jsquyres
4488,,ggouaillardet
4490,hjelmn,rolfv
4519,jsquyres,jsquyres
4531,,ggouaillardet
4575,,dgoodell
4577,,dgoodell
4578,hjelmn,dgoodell
4674,hjelmn,ggouaillardet
4693,jsquyres,davidm
4709,hjelmn,rolfv
4767,,jsquyres
4769,regrant,bbenton
4770,bosilca,rhc
4814,manjugv,hpcchris
4815,manjugv,rolfv
4823,ggouaillardet,jsquyres
4839,,liuwind
4856,hppritcha,jsquyres
4896,,robl
4902,regrant,bbenton
4903,,quantheory
4918,tkordenbrock,bbenton
4924,jsquyres,bosilca
