id,type,owner,reporter,milestone,status,resolution,summary,description,PosixTime,ModifiedTime,priority
19,enhancement,bosilca,bosilca,,new,,BTL checkpoint friendly,"So far only self and tcp seems to be check-friendly. SM has a small issue, but that might be removed with a little work. All others BTL has to be investigated. A testing file will be added shortly once I figure out how to do it ...",1148061954,1224809996,minor
76,enhancement,jsquyres,jsquyres,Future,assigned,,Global / local MCA parameters,"Suggestion of having ""global"" and ""local"" MCA parameters in MCA config files.

 * Local MCA params would be exactly what they are today (and in the absence of a designator, params default to local -- for backwards file format compatability), meaning that they are not sent to processes on remote nodes.
 * Global MCA params would be bundled up by orterun and sent to all processes in the job, even if the user did not override those MCA parameters on the command line (or environment or ...) or not.

The intent is to be able to have a central set of MCA params that comes from a single location (i.e., you don't need to propagate the MCA params config file to all nodes in the job).",1149610011,1214228919,minor
174,enhancement,hjelmn,jsquyres,Open MPI 1.8.4,assigned,,Provide warnings if unknown MCA params used,"It has long been a problem that users may supply incorrect or unknown MCA parameters and therefore get incorrect or undesired behavior.  For example, a user may misspell an MCA parameter name on the mpirun command line and OMPI effectively ignores it because the name that the user provides is effectively never ""seen"" by the MCA base.  That is, there is no error checking in the MCA base to see if there are MCA parameters supplied that do not exist.

While such consistency checking would be extremely helpful to users, it is a fairly difficult problem to solve.  Here's a recent mail that I sent on the topic:

-----

I think we all agree that this is something that would be Very Good to have.  The reason that it hasn't been done is because I'm not sure how to do it.  :-(  Actually, more specifically, I can think of several complex ways to do it, but they're all quite unattractive.
 
The problem is that we don't necessarily have global knowledge of all MCA parameters.  Consider this example:

```
mpirun --mca pls_tm_foo 1 --mca btl_openib_foo 1 -np 4 a.out
```
 
These MCA params are going to be visible to three types of processes:
 
 * mpirun
 * orted
 * a.out (assumedly an MPI process)
 
So how do we tell mpirun and orted that they should ignore the btl_openib MCA parameter, and tell a.out that it should ignore the pls_tm MCA parameter?  There are other, similar corner cases (e.g., what if some node doesn't have the openib BTL component, but others do?).
 
There are a few ways to do this that I can think of:
 
 1. each app registers frameworks that it is and is not interested in -- assuming that all MCA params follow the prefix rule, we can parse out which params in the environment belong to which framework (ugh) and then find a) any that fall outside of that (e.g., mis-typed frameworks), and b) any that are in the frameworks of interest that do not match registered params.  This doesn't handle all corner cases, though (e.g., openib on some nodes but not all).
 1. some entity (mpirun, most likely) does an ompi_info-like ""open all frameworks"" and can directly check all MCA params right away.  This is an abstraction violation because orterun will be opening frameworks that it should have no knowledge of (e.g., MPI frameworks).
 1. some entity (mpirun, most likely) fork/exec's ompi_info in a special mode that checks for invalid MCA params in the environment (because it will inherit the params for mpirun).  This is nice because then mpirun doesn't have to open all the frameworks, but it's an abstraction violation because orterun doesn't know about ompi_info (different layers).
 
So the first one is the only one that is actually viable (i.e., doesn't cause abstraction violation).  But it's still klunky, awkward, and doesn't handle all cases.  If anyone has any better ideas, I'm all ears...

-----

Since writing the above e-mail, I had another idea -- address the common case and provide a workaround for the others.  Specifically, do not worry about the case where some nodes have component A and others do not.  Hence, in this scenario if a user supplies an MCA param for component A, the processes on some nodes will be ok with it (because they have component A), but others will consider it ""unrecognized"" (because they do not have component A), and will print a warning/error -- potentially causing the job to fail.  

To address this, we can add [yet another] MCA parameter to disable this MCA parameter checking.  The default value will be to enable MCA parameter checking, but if a user knows what they're doing, or if they fall into the corner case above, they can disable MCA parameter checking and be ""good enough.""

It's not perfect and it certainly doesn't cover all cases, but it does cover today's common case (where all nodes are homogeneous) and would probably be a good step forward.",1151754148,1398198819,major
184,defect,,jsquyres,Future,new,,MPI attribute code need threading audit,"In reviewing bug https://svn.open-mpi.org/trac/ompi/ticket/176, I have determined that the locking code in source:/trunk/ompi/attribute/attribute.c may not be thread safe in all cases and needs to be audited.  It was written with the best of intentions :-) but then never tested and I think there are some obscure race conditions that ''could'' happen.

For example, in ompi_attr_create_keyval(), we have the following:

```
    OPAL_THREAD_LOCK(&alock);
    ret = CREATE_KEY(key);
    if (OMPI_SUCCESS == ret) {
        ret = opal_hash_table_set_value_uint32(keyval_hash, *key, attr);
    }
    OPAL_THREAD_UNLOCK(&alock);
    if (OMPI_SUCCESS != ret) {
        return ret;
    }

    /* Fill in the list item */

    attr->copy_attr_fn = copy_attr_fn;
    /* ...fill in more attr->values ... */
```

This could clearly be a problem since we set the empty keyval on the hash and therefore it's available to any other thread as soon as the lock is released -- potentially ''before'' we finish setting all the values on the ```attr``` variable (which is poorly named -- it's a keyval, not an attribute).

This one problem is easily fixed (ensure to setup ```attr``` before we assign it to the keyval hash), but it reflects that the rest of the attribute code should really be audited.  Hence, this ticket is a placemarker to remember to audit this code because it may not be thread safe.",1152117583,1212098517,major
192,enhancement,jsquyres,jsquyres,Future,new,,Add PGI debugger invocation to orte_base_user_debugger MCA param default value,"From the user's mailing list http://www.open-mpi.org/community/lists/users/2006/07/1558.php, Andrew Caird found that the following command line syntax ""mostly"" works with the PGI debugger:

```
mpirun --debugger ""pgdbg @mpirun@ @mpirun_args@"" --debug -np 2 ./cpi 
```

Hence, we can add ""pgdbg @mpirun@ @mpirun_args@ to the default value of orte_base_user_debugger so that it will be found automatically and users don't need to specify it.

However, Andrew noted that the PGI debugger doesn't fully support Open MPI yet (right now, it shows some warning message, which may be indicative of deeper problems).  PGI support says that they are [pleasantly] surprised that it works with Open MPI at all, but hope to support Open MPI by the end of the year or so.

This ticket is a placeholder to add the pgdbg value to orte_base_user_debugger once the PGI debugger supports Open MPI.  I don't want to add it before then because it could be misleading to users.",1152191336,1197034545,minor
200,enhancement,,bosilca,Future,new,,"LN, LN_S and RM","When running configure under cygwin there is no way to force these 3 variables to anything else than the default values. On windows LN will not work as expected ""cp -p"" should be used instead.",1152649654,1231784518,major
393,defect,,adi,Future,reopened,,OMPI build broken on OpenBSD,"Neither the 1.1.1 release nor the 1.2 branch can be built on OpenBSD (3.9).

```
 gcc -DHAVE_CONFIG_H -I. -I. -I../../opal/include -I../../orte/include -I../../ompi/include -I../../ompi/include -I../.. -O3 -DNDEBUG -fno-strict-aliasing -pthread -MT stacktrace.lo -MD -MP -MF .deps/stacktrace.Tpo -c stacktrace.c  -fPIC -DPIC -o .libs/stacktrace.o
stacktrace.c: In function `opal_show_stackframe':
stacktrace.c:232: error: `SI_ASYNCIO' undeclared (first use in this function)
stacktrace.c:232: error: (Each undeclared identifier is reported only once
stacktrace.c:232: error: for each function it appears in.)
stacktrace.c:233: error: `SI_MESGQ' undeclared (first use in this function)
gmake[3]: *** [stacktrace.lo] Error 1
gmake[3]: Leaving directory `/var/tmp/openmpi-1.1.1/opal/util'
gmake[2]: *** [all-recursive] Error 1
gmake[2]: Leaving directory `/var/tmp/openmpi-1.1.1/opal/util'
gmake[1]: *** [all-recursive] Error 1
gmake[1]: Leaving directory `/var/tmp/openmpi-1.1.1/opal'
gmake: *** [all-recursive] Error 1
```

I can't imagine why one would use OpenBSD for high performance computing (think of the poor OpenBSD performance in general), so we might close this ticket with ""wontfix"". (just wanted to let you know...)",1158876950,1193062255,minor
576,enhancement,,jsquyres,Future,new,,"Make F90 MPI_IN_PLACE, MPI_ARGVS_NULL, and MPI_STATUSES_IGNORE be uniqe types","Per an e-mail exchange with Michael Kluskens, there appears to be benefit from making several of the MPI constants in F90 be unique types so that we can have unique interfaces that match just that senteniel.  Specifically:

 * We can disallow using those constants where they are not allowed
 * We can prevent accidental bad arguments to functions (E.g., MPI_ARGVS_NULL is currently a double precision -- so someone could accidentally pass a double precision into MPI_COMM_SPAWN_MULTIPLE.  Unlikely, but still possible -- a unique type for MPI_ARGVS_NULL would prevent this possibility)

See http://www.open-mpi.org/community/lists/users/2006/11/2115.php.",1162507451,1196694864,minor
585,enhancement,,jsquyres,Future,new,,Make new MCA fw open call to open mandatory components,"In talks with various developers, it seems like we have several places in the code base that have ''required'' components.  For example:

 * BTL: needs ""self""
 * Coll: needs ""self"" and ""basic""
 * RAS: needs ""dash_host"" and ""localhost"" (sorta)

We've also seen users screw this up -- most often in the btl or coll cases, where they do something like this:

```
shell$ mpirun --mca btl openib ...
```

And then get confused when they try to MPI send a message to themselves and have the PML/BTL barf because it has no BTL path to send to itself.  

One possible way to make this nicer is to either modify the existing mca_base_components_open() function to take another argument (or leave the mca_base_components_open() interface alone and make a new function, perhaps named mca_base_components_open_required() that is the same as mca_base_components_open() but has the new parameter).  This new argument can be a list of components that ''have'' to be opened, and are therefore excluded from the ""--mca <framework> <value>"" selection criteria.  

We can add error checking in there such that if someone runs:

```
shell$ mpirun --mca coll ^basic ...
```

and the coll base lists ""basic"" in the ""required"" list, a friendly error message can be printed, etc.  You get the idea.

The point is that this might help a bunch of the code base become simpler if it can be assumed that certain components are always available (it would simplify a bunch of the coll base, for example).  It would also allow the Law of Least Astonishment for users running:

```
shell$ mpirun --mca btl openib ...
```

This kind of scenario would then work as the user expects because the BTL base will silently be loading ""self"" in the background (note that this is up to the framework -- so in an MTL situation, we wouldn't be calling the btl_base_open(), so this mandatory loading of the BTL self component wouldn't apply, etc.).",1162586703,1196694802,minor
628,defect,bosilca,rolfv,Open MPI 1.6.6,new,,MPI_Pack_external_size is returning the wrong values in 64-bit applications,"We have a program that tests for the size returned from MPI_Pack_external_size with the external32 data representation.  It should return the same value for both 32-bit and 64-bit applications, but it is returning different values.

```
 burl-ct-v40z-0 65 =>mpicc ext32.c -o ext32
""ext32.c"", line 105: warning: shift count negative or too big: << 32
 burl-ct-v40z-0 66 =>mpirun -np 2 ext32
First test passed
Second test passed
Third test passed
ext32: PASSED
```
```
 burl-ct-v40z-0 67 =>mpicc -xarch=amd64 ext32.c -o ext32_amd64
 burl-ct-v40z-0 68 =>mpirun -np 2 ext32_amd64 
First test passed
Second test failed. Got size of 80, expected 40
Third test failed. Got size of 6400, expected 3200
[burl-ct-v40z-0:13864] *** An error occurred in MPI_Pack_external
[burl-ct-v40z-0:13864] *** on communicator MPI_COMM_WORLD
[burl-ct-v40z-0:13864] *** MPI_ERR_TRUNCATE: message truncated
[burl-ct-v40z-0:13864] *** MPI_ERRORS_ARE_FATAL (goodbye)
 burl-ct-v40z-0 69 =>
```",1164212194,1266590958,major
